,0,1,2,3,4,5,6,7
118,Kyrgyzstan,"200,993",,"2,991 ",,"196,406",,"1,596"
119,Iceland,"186,179",,120 ,,N/A,N/A,N/A
120,Maldives,"179,483",,298 ,,"163,687",,"15,498"
121,Afghanistan,"179,169",,"7,686 ",,"162,132",,"9,351"
122,Uganda,"164,069",,"3,596 ",,"100,205",,"60,268"
123,El Salvador,"162,089",,"4,129 ",,"150,662",,"7,298"
124,Ghana,"161,280",,"1,445 ",,"159,788",,47
125,Namibia,"159,503",,"4,028 ",,"153,662",,"1,813"
126,Trinidad and Tobago,"153,471",,"3,866 ",,"140,228",,"9,377"
127,Martinique,"153,253",,926 ,,104,,"152,223"
128,Brunei ,"143,866",,219 ,,"142,173",,"1,474"
129,Guadeloupe,"140,130",,854 ,,"2,250",,"137,026"
130,Cambodia,"136,262",,"3,056 ",,"133,189",+3,17
131,Jamaica,"131,704",,"2,991 ",,"84,818",,"43,895"
132,Rwanda,"129,886",,"1,459 ",,"45,522",,"82,905"
133,Cameroon,"119,780",,"1,927 ",,"117,791",,62
134,Angola,"99,194",,"1,900 ",,"97,149",,145
135,Malta,"93,249",,713 ,,"89,625",,"2,911"
136,DRC,"87,023",,"1,337 ",,"50,930",,"34,756"
137,Senegal,"86,029",,"1,966 ",,"84,046",,17
138,Malawi,"85,855",,"2,635 ",,"82,462",,758
139,Ivory Coast,"81,985",,799 ,,"81,167",,19
140,French Guiana,"81,784",,397 ,,"11,254",,"70,133"
141,Suriname,"80,008",,"1,337 ",,"49,455",,"29,216"
142,Barbados,"75,438",,432 ,,"71,201",,"3,805"
143,Channel Islands,"75,275",,173 ,,"74,574",,528
144,French Polynesia,"72,786",,648 ,,N/A,N/A,N/A
145,Eswatini,"71,583",,"1,402 ",,"69,394",,787
146,Fiji,"64,725",,862 ,,"62,853",,"1,010"
147,Madagascar,"64,236",,"1,393 ",,"59,370",,"3,473"
148,Guyana,"63,736",,"1,228 ",,"62,260",,248
149,Sudan,"62,161",,"4,936 ",,N/A,N/A,N/A
150,New Caledonia,"60,749",,312 ,,"60,231",,206
151,Bhutan,"59,552",,21 ,,"59,397",,134
152,Mauritania,"58,805",,982 ,,"57,706",,117
153,Belize,"57,836",,676 ,,"56,750",,410
154,Cabo Verde,"56,099",,401 ,,"55,604",,94
155,Syria,"55,867",,"3,150 ",,"52,395",,322
156,Gabon,"47,608",,304 ,,"47,297",,7
157,Papua New Guinea,"43,876",,651 ,,"43,200",,25
158,Seychelles,"43,235",,167 ,,"42,553",,515
159,Curaçao,"42,567",,275 ,,"41,905",,387
160,Andorra,"42,156",,153 ,,"41,021",,982
161,Burundi,"41,216",,38 ,,N/A,N/A,N/A
162,Mauritius,"37,837",,996 ,,"36,159",,682
163,Mayotte,"37,363",,187 ,,"2,964",,"34,212"
164,Togo,"37,013",,273 ,,"36,719",,21
165,Guinea,"36,459",,440 ,,"35,976",,43
166,Tanzania,"35,354",,840 ,,N/A,N/A,N/A
167,Aruba,"35,189",,212 ,,"34,774",,203
168,Faeroe Islands,"34,658",,28 ,,"7,693",,"26,937"
169,Bahamas,"33,830",,800 ,,"32,458",,572
170,Lesotho,"32,910",,697 ,,"24,155",,"8,058"
171,Mali,"30,978",,733 ,,"30,049",,196
172,Haiti,"30,713",,835 ,,"29,605",,273
173,Isle of Man,"28,416",,87 ,,"26,794",,"1,535"
174,Benin,"26,952",,163 ,,"25,506",,"1,283"
175,Somalia,"26,518",,"1,350 ",,"13,182",,"11,986"
176,Congo,"24,079",,385 ,,"20,178",,"3,516"
177,Saint Lucia,"23,978",,368 ,,"23,144",,466
178,Cayman Islands,"23,578",,28 ,,"8,553",,"14,997"
179,Timor-Leste,"22,886",,130 ,,"22,730",,26
180,Burkina Faso,"20,853",,382 ,,"20,439",,32
181,Nicaragua,"18,491",,225 ,,"4,225",,"14,041"
182,Solomon Islands,"18,174",,146 ,,"16,357",,"1,671"
183,Gibraltar,"18,129",,102 ,,"16,579",,"1,448"
184,South Sudan,"17,525",,138 ,,"13,514",,"3,873"
185,Tajikistan,"17,388",,124 ,,"17,264",,0
186,Liechtenstein,"17,306",,84 ,,"17,154",,68
187,San Marino,"16,823",,115 ,,"16,424",,284
188,Grenada,"16,191",,221 ,,"14,626",,"1,344"
189,Equatorial Guinea,"15,910",,183 ,,"15,701",,26
190,Djibouti,"15,631",,189 ,,"15,427",,15
191,CAR,"14,649",,113 ,,"6,859",,"7,677"
192,Bermuda,"14,135",,135 ,,"13,664",,336
193,Dominica,"12,685",,63 ,,"12,323",,299
194,Monaco,"12,000",,54 ,,"11,842",,104
195,Gambia,"11,996",,365 ,,"11,591",,40
196,Greenland,"11,971",,21 ,,"2,761",,"9,189"
197,Yemen,"11,819",,"2,149 ",,"9,009",,661
198,Tonga,"11,049",,11 ,,"10,110",,928
199,Samoa,"11,045",,23 ,,"1,605",,"9,417"
200,Saint Martin,"10,602",,63 ,,"1,399",,"9,140"
201,Sint Maarten,"10,123",,86 ,,"9,985",,52
202,Caribbean Netherlands,"9,903",,35 ,,"9,819",,49
203,Eritrea,"9,740",,103 ,,"9,632",,5
204,Niger,"9,010",,310 ,,"8,577",,123
205,Guinea-Bissau,"8,215",,171 ,,"8,005",,39
206,Vanuatu,"8,194",,14 ,,"7,725",,455
207,Comoros,"8,100",,160 ,,"7,933",,7
208,Antigua and Barbuda,"7,721",,137 ,,"7,511",,73
209,Sierra Leone,"7,682",,125 ,,N/A,N/A,N/A
210,Liberia,"7,451",,294 ,,"5,747",,"1,410"
211,Chad,"7,414",,193 ,,"4,874",,"2,347"
212,St. Vincent Grenadines,"6,794",,106 ,,"6,641",,47
213,British Virgin Islands,"6,573",,62 ,,N/A,N/A,N/A
214,Turks and Caicos,"6,046",,36 ,,"5,963",,47
215,Sao Tome and Principe,"5,970",,73 ,,"5,891",,6
216,Saint Kitts and Nevis,"5,600",,43 ,,"5,540",,17
217,Cook Islands,"5,390",,1 ,,"5,274",,115
218,Palau,"4,782",,6 ,,"4,087",,689
219,St. Barth,"4,611",,6 ,,N/A,N/A,N/A
220,Kiribati,"3,093",,13 ,,"2,602",,478
221,Anguilla,"2,984",,9 ,,"2,916",,59
222,Saint Pierre Miquelon,"2,739",,1 ,,"2,449",,289
223,Falkland Islands,"1,126",, ,,N/A,N/A,N/A
224,Montserrat,747,,2 ,,390,,355
225,Diamond Princess,712,,13 ,,699,,0
226,Wallis and Futuna,454,,7 ,,438,,9
227,Macao,82,, ,,82,,0
228,Vatican City,29,, ,,29,,0
229,Marshall Islands,17,, ,,14,,3
230,Western Sahara,10,,1 ,,9,,0
231,MS Zaandam,9,,2 ,,7,,0
232,Niue,9,, ,,8,,1
233,Micronesia,7,, ,,1,,6
234,Nauru,7,, ,,4,,3
235,Saint Helena,2,, ,,2,,0
236,China,"221,289",+331,"5,205 ",+2,"209,140",+614,"6,944"
237,"99,466,474",,"1,466,594",,"94,733,439",,"3,266,441","7,421"
238,"149,679,779","+148,023","1,427,484",+190,"126,982,504","+36,131","21,269,791","11,875"
239,"57,076,865",+174,"1,296,215",,"53,170,992",,"2,609,658","10,690"
240,"193,780,651",,"1,828,906",,"181,204,954",,"10,746,791","8,082"
241,"7,836,419","+59,301","11,307",+80,"7,305,575","+7,404","519,537",156
242,"12,024,127",,"254,192",,"11,197,387",,"572,548",965
243,721,,15,,706,,0,0
244,"519,865,036","+207,498","6,284,713",+270,"474,595,557","+135,579","38,984,766","39,189"
